station_abbr,reference_timestamp,tre200d0,tre200dx,tre200dn,tre005d0,tre005dx,tre005dn,ure200d0,pva200d0,prestad0,pp0qffd0,ppz850d0,ppz700d0,pp0qnhd0,fkl010d0,fkl010d1,fu3010d0,fu3010d1,fkl010d3,fu3010d3,wcc006d0,rre150d0,rka150d0,htoautd0,gre000d0,oli000d0,olo000d0,osr000d0,ods000d0,sre000d0,sremaxdv,erefaod0,xcd000d0,dkl010d0,xno000d0,xno012d0,rreetsd0,tso005d0,tso010d0,tso020d0
GEN,27.03.1992 00:00,,,,,,,,,814.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,28.03.1992 00:00,,,,,,,,,819.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,29.03.1992 00:00,,,,,,,,,822.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,30.03.1992 00:00,,,,,,,,,821.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,15.04.1992 00:00,,,,,,,,,829.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,16.04.1992 00:00,,,,,,,,,828.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,17.04.1992 00:00,,,,,,,,,836.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,18.04.1992 00:00,,,,,,,,,836.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,23.04.1992 00:00,,,,,,,,,833.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,24.04.1992 00:00,,,,,,,,,837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,25.04.1992 00:00,,,,,,,,,843.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,26.04.1992 00:00,,,,,,,,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,27.04.1992 00:00,,,,,,,,,841.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,28.04.1992 00:00,,,,,,,,,835.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,29.04.1992 00:00,,,,,,,,,831.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,30.04.1992 00:00,,,,,,,,,836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,01.05.1992 00:00,,,,,,,,,837.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,02.05.1992 00:00,,,,,,,,,835.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,03.05.1992 00:00,,,,,,,,,839.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,04.05.1992 00:00,,,,,,,,,841.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,05.05.1992 00:00,,,,,,,,,841.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,06.05.1992 00:00,,,,,,,,,843.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,07.05.1992 00:00,,,,,,,,,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,08.05.1992 00:00,,,,,,,,,836.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,09.05.1992 00:00,,,,,,,,,834.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,10.05.1992 00:00,,,,,,,,,836.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,11.05.1992 00:00,,,,,,,,,839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,12.05.1992 00:00,,,,,,,,,846.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,13.05.1992 00:00,,,,,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,14.05.1992 00:00,,,,,,,,,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,15.05.1992 00:00,,,,,,,,,850.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,17.05.1992 00:00,,,,,,,,,846.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,18.05.1992 00:00,,,,,,,,,840.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,19.05.1992 00:00,,,,,,,,,841.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,20.05.1992 00:00,,,,,,,,,842.1,,,,1022.4,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,22.05.1992 00:00,,,,,,,,,839.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,23.05.1992 00:00,,,,,,,,,838.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,24.05.1992 00:00,,,,,,,,,839.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,17.07.1992 00:00,,,,,,,,,846.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,18.07.1992 00:00,,,,,,,,,846.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,19.07.1992 00:00,,,,,,,,,845.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,20.07.1992 00:00,,,,,,,,,844.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,21.07.1992 00:00,,,,,,,,,843.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,22.07.1992 00:00,,,,,,,,,844.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,23.07.1992 00:00,,,,,,,,,846.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,24.07.1992 00:00,,,,,,,,,844.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,25.07.1992 00:00,,,,,,,,,844.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,26.07.1992 00:00,,,,,,,,,846.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,27.07.1992 00:00,,,,,,,,,846.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,28.07.1992 00:00,,,,,,,,,847.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,29.07.1992 00:00,,,,,,,,,848.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,30.07.1992 00:00,,,,,,,,,848.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,31.07.1992 00:00,,,,,,,,,847.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,01.08.1992 00:00,,,,,,,,,844.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,02.08.1992 00:00,,,,,,,,,843.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,03.08.1992 00:00,,,,,,,,,843.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,04.08.1992 00:00,,,,,,,,,844.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,05.08.1992 00:00,,,,,,,,,849.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,06.08.1992 00:00,,,,,,,,,849.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,07.08.1992 00:00,,,,,,,,,848.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,08.08.1992 00:00,,,,,,,,,847.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,09.08.1992 00:00,,,,,,,,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,10.08.1992 00:00,,,,,,,,,840.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,11.08.1992 00:00,,,,,,,,,843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,12.08.1992 00:00,,,,,,,,,844.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,13.08.1992 00:00,,,,,,,,,842.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,14.08.1992 00:00,,,,,,,,,837.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,15.08.1992 00:00,,,,,,,,,839.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,16.08.1992 00:00,,,,,,,,,844.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,17.08.1992 00:00,,,,,,,,,845.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,18.08.1992 00:00,,,,,,,,,845.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,19.08.1992 00:00,,,,,,,,,844.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,20.08.1992 00:00,,,,,,,,,842.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,21.08.1992 00:00,,,,,,,,,840.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,22.08.1992 00:00,,,,,,,,,839.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,23.08.1992 00:00,,,,,,,,,841.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,24.08.1992 00:00,,,,,,,,,845.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,25.08.1992 00:00,,,,,,,,,847.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,26.08.1992 00:00,,,,,,,,,845.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,27.08.1992 00:00,,,,,,,,,844.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,28.08.1992 00:00,,,,,,,,,842.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,29.08.1992 00:00,,,,,,,,,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,30.08.1992 00:00,,,,,,,,,835.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,31.08.1992 00:00,,,,,,,,,832.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,01.09.1992 00:00,,,,,,,,,836.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,02.09.1992 00:00,,,,,,,,,846.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,03.09.1992 00:00,,,,,,,,,843.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,04.09.1992 00:00,,,,,,,,,836.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,05.09.1992 00:00,,,,,,,,,839.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,06.09.1992 00:00,,,,,,,,,841.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,07.09.1992 00:00,,,,,,,,,841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,08.09.1992 00:00,,,,,,,,,842.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,09.09.1992 00:00,,,,,,,,,845.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,10.09.1992 00:00,,,,,,,,,845.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,11.09.1992 00:00,,,,,,,,,846.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,12.09.1992 00:00,,,,,,,,,847.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,13.09.1992 00:00,,,,,,,,,844.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,14.09.1992 00:00,,,,,,,,,842.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,15.09.1992 00:00,,,,,,,,,845.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,16.09.1992 00:00,,,,,,,,,847.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,17.09.1992 00:00,,,,,,,,,845.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,18.09.1992 00:00,,,,,,,,,844.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,19.09.1992 00:00,,,,,,,,,843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,20.09.1992 00:00,,,,,,,,,844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,21.09.1992 00:00,,,,,,,,,843.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,22.09.1992 00:00,,,,,,,,,842.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,23.09.1992 00:00,,,,,,,,,841.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,24.09.1992 00:00,,,,,,,,,842.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,25.09.1992 00:00,,,,,,,,,845.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,26.09.1992 00:00,,,,,,,,,847.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,27.09.1992 00:00,,,,,,,,,844.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,28.09.1992 00:00,,,,,,,,,840.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,29.09.1992 00:00,,,,,,,,,838.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,30.09.1992 00:00,,,,,,,,,840.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,03.10.1992 00:00,,,,,,,,,825.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,04.10.1992 00:00,,,,,,,,,821.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,05.10.1992 00:00,,,,,,,,,824.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,06.10.1992 00:00,,,,,,,,,829.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,07.10.1992 00:00,,,,,,,,,835.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,08.10.1992 00:00,,,,,,,,,844.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,09.10.1992 00:00,,,,,,,,,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,10.10.1992 00:00,,,,,,,,,833.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,11.10.1992 00:00,,,,,,,,,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,12.10.1992 00:00,,,,,,,,,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,13.10.1992 00:00,,,,,,,,,841.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,14.10.1992 00:00,,,,,,,,,837.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,15.10.1992 00:00,,,,,,,,,827.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,16.10.1992 00:00,,,,,,,,,823.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,17.10.1992 00:00,,,,,,,,,820.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,18.10.1992 00:00,,,,,,,,,826.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,19.10.1992 00:00,,,,,,,,,837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,20.10.1992 00:00,,,,,,,,,835.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,21.10.1992 00:00,,,,,,,,,829.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,22.10.1992 00:00,,,,,,,,,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,23.10.1992 00:00,,,,,,,,,828.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,24.10.1992 00:00,,,,,,,,,830.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,25.10.1992 00:00,,,,,,,,,831.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,26.10.1992 00:00,,,,,,,,,828.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,27.10.1992 00:00,,,,,,,,,830.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,28.10.1992 00:00,,,,,,,,,828.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,29.10.1992 00:00,,,,,,,,,825.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,30.10.1992 00:00,,,,,,,,,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,31.10.1992 00:00,,,,,,,,,834.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,01.11.1992 00:00,,,,,,,,,840.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,02.11.1992 00:00,,,,,,,,,840.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,03.11.1992 00:00,,,,,,,,,837.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,04.11.1992 00:00,,,,,,,,,840.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,05.11.1992 00:00,,,,,,,,,848.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,06.11.1992 00:00,,,,,,,,,852.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,07.11.1992 00:00,,,,,,,,,847.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,08.11.1992 00:00,,,,,,,,,843.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,09.11.1992 00:00,,,,,,,,,845.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,10.11.1992 00:00,,,,,,,,,840.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,11.11.1992 00:00,,,,,,,,,833.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
